Date,Close,Volume,Open,High,Low
07/09/2024,50.09,17484250,50.24,50.24,49.96
07/08/2024,50.26,8229614,50.52,50.5555,50.23
07/05/2024,50.48,7272917,50.62,50.62,50.18
07/03/2024,50.16,7160862,49.81,50.215,49.81
07/02/2024,49.57,10081080,49.33,49.60,49.255
07/01/2024,49.46,10764360,49.63,49.81,49.3439
06/28/2024,49.42,9419151,49.41,49.585,49.21
06/27/2024,49.38,8564486,49.37,49.52,49.27
06/26/2024,49.26,8628367,49.18,49.34,49.10
06/25/2024,49.59,10089830,49.52,49.65,49.41
06/24/2024,49.52,7928247,49.47,49.75,49.47
06/21/2024,49.09,7805539,49.08,49.16,48.95
06/20/2024,49.88,8700684,49.80,49.9683,49.71
06/18/2024,49.88,11838710,49.68,49.91,49.675
06/17/2024,49.68,8490632,49.38,49.695,49.2067
06/14/2024,49.50,8666353,49.39,49.52,49.175
06/13/2024,49.95,5741347,50.28,50.2883,49.7509
06/12/2024,50.66,8405002,50.92,51.04,50.5719
06/11/2024,50.05,13418670,50.08,50.16,49.80
06/10/2024,50.62,6425164,50.32,50.675,50.21
06/07/2024,50.55,6722393,50.76,50.8842,50.54
06/06/2024,51.18,5781431,51.05,51.21,51.0041
06/05/2024,51.05,7634489,50.94,51.06,50.65
06/04/2024,50.70,8275311,50.69,50.78,50.4749
06/03/2024,50.85,9064775,50.93,51.02,50.63
05/31/2024,50.72,10548050,50.56,50.74,50.295
05/30/2024,50.28,9017528,50.16,50.3899,50.11
05/29/2024,49.83,7938702,50.00,50.0968,49.8101
05/28/2024,50.70,7894151,50.97,50.99,50.55
05/24/2024,50.69,7106334,50.47,50.775,50.47
05/23/2024,50.28,12745630,50.96,51.00,50.16
05/22/2024,50.56,7250012,50.73,50.76,50.4251
05/21/2024,51.04,6900149,50.96,51.09,50.925
05/20/2024,51.12,5730961,51.14,51.2799,51.1045
05/17/2024,51.10,7276895,50.93,51.12,50.84
05/16/2024,50.92,7410844,51.13,51.1472,50.911
05/15/2024,51.21,8035145,50.96,51.21,50.81
05/14/2024,50.70,9694303,50.52,50.70,50.48
05/13/2024,50.35,6602061,50.40,50.4888,50.275
05/10/2024,50.36,8819984,50.50,50.5164,50.30
05/09/2024,50.34,7109161,49.95,50.34,49.95
05/08/2024,49.97,6547615,49.76,49.98,49.72
05/07/2024,50.02,7874728,50.04,50.14,49.9342
05/06/2024,49.95,8653958,49.84,49.9658,49.78
05/03/2024,49.56,11883000,49.66,49.74,49.27
05/02/2024,49.11,18097130,48.95,49.20,48.66
05/01/2024,48.40,12336500,48.41,48.99,48.264
04/30/2024,48.46,10083400,48.93,49.055,48.44
04/29/2024,49.15,8218474,49.19,49.2463,48.99
04/26/2024,48.88,9166191,48.73,48.955,48.705
04/25/2024,48.52,8433599,48.06,48.605,47.9425
04/24/2024,48.73,7247797,48.89,48.91,48.54
04/23/2024,48.87,7996299,48.52,48.92,48.455
04/22/2024,48.38,9371249,48.14,48.55,48.04
04/19/2024,47.86,13900350,47.88,48.045,47.715
04/18/2024,47.83,13900820,47.95,48.1591,47.73
04/17/2024,47.88,12166260,48.08,48.14,47.6501
04/16/2024,47.85,16484090,47.95,48.08,47.685
04/15/2024,48.36,20119990,49.08,49.125,48.2725
04/12/2024,48.53,14173520,48.94,49.09,48.4601
04/11/2024,49.39,12987640,49.44,49.475,48.87
04/10/2024,49.21,14335720,49.22,49.43,49.015
04/09/2024,49.96,9099111,50.16,50.22,49.71
04/08/2024,49.95,14126210,49.98,50.045,49.84
04/05/2024,49.71,13240970,49.49,49.8156,49.37
04/04/2024,49.53,17525650,50.26,50.285,49.48
04/03/2024,49.93,17859140,49.54,50.00,49.53
04/02/2024,49.66,15614540,49.63,49.66,49.50
04/01/2024,49.97,9987836,50.10,50.21,49.85
03/28/2024,50.17,8336013,50.10,50.2399,50.10
03/27/2024,50.27,7233150,50.04,50.27,49.99
03/26/2024,49.94,12502440,50.11,50.1294,49.93
03/25/2024,49.87,7858029,49.82,50.0453,49.8136
03/22/2024,49.94,9289658,50.08,50.095,49.89
03/21/2024,50.11,8951612,50.17,50.27,50.09
03/20/2024,50.08,15166240,49.52,50.13,49.48
03/19/2024,49.54,10424950,49.41,49.67,49.3201
03/18/2024,49.46,12116750,49.61,49.625,49.42
03/15/2024,49.45,13766730,49.50,49.57,49.30
03/14/2024,49.78,12369570,50.16,50.1788,49.58
03/13/2024,50.11,8727261,50.06,50.2268,50.01
03/12/2024,50.10,8307419,49.79,50.10,49.605
03/11/2024,49.72,7569826,49.65,49.74,49.475
03/08/2024,49.97,10492510,50.31,50.36,49.8947
03/07/2024,50.11,15544920,49.87,50.17,49.845
03/06/2024,49.54,13323490,49.50,49.685,49.41
03/05/2024,48.95,13584670,49.10,49.26,48.8143
03/04/2024,49.07,9774627,49.03,49.16,48.98
03/01/2024,49.20,11199480,48.89,49.22,48.712
02/29/2024,48.68,17630470,48.82,48.88,48.465
02/28/2024,48.57,7449496,48.54,48.65,48.50
02/27/2024,48.83,8633739,48.78,48.8599,48.72
02/26/2024,48.74,9505288,48.85,48.85,48.64
02/23/2024,48.85,7736353,48.83,48.91,48.734
02/22/2024,48.77,17006270,48.66,48.82,48.58
02/21/2024,48.26,10143370,48.13,48.27,48.0399
02/20/2024,48.23,9318029,48.33,48.38,48.115
02/16/2024,48.06,9886834,48.02,48.2765,47.91
02/15/2024,48.02,9979803,47.69,48.03,47.68
02/14/2024,47.49,10455660,47.25,47.4956,47.21
02/13/2024,46.91,19980910,47.19,47.22,46.72
02/12/2024,47.76,8597979,47.63,47.9198,47.61
02/09/2024,47.64,11255030,47.48,47.6601,47.3701
02/08/2024,47.47,10014080,47.46,47.49,47.2943
02/07/2024,47.55,8819302,47.54,47.625,47.445
02/06/2024,47.52,12103760,47.23,47.53,47.20
02/05/2024,47.23,13406260,47.25,47.33,46.99
02/02/2024,47.54,11569740,47.55,47.59,47.31
02/01/2024,47.88,12761160,47.54,47.89,47.435
01/31/2024,47.38,14542960,47.84,47.978,47.31
01/30/2024,47.65,8228501,47.62,47.69,47.44
01/29/2024,47.71,9572084,47.40,47.76,47.34
01/26/2024,47.43,8717142,47.46,47.53,47.36
01/25/2024,47.23,13899340,47.22,47.25,47.0038
01/24/2024,47.11,11566380,47.41,47.43,47.09
01/23/2024,46.82,8069895,46.72,46.845,46.60
01/22/2024,46.90,11607630,46.90,47.05,46.8146
01/19/2024,46.78,9933022,46.52,46.79,46.355
01/18/2024,46.63,9243799,46.41,46.64,46.325
01/17/2024,46.21,10354640,46.08,46.23,45.91
01/16/2024,46.72,14475640,46.96,47.00,46.62
01/12/2024,47.57,7138474,47.72,47.865,47.48
01/11/2024,47.40,12648410,47.52,47.58,46.955
01/10/2024,47.45,10542950,47.36,47.51,47.2943
01/09/2024,47.19,13219460,47.23,47.3099,47.11
01/08/2024,47.62,8156649,47.20,47.635,47.15
01/05/2024,47.13,9963110,47.04,47.55,46.9986
01/04/2024,47.10,14931860,46.98,47.3299,46.97
01/03/2024,46.99,12564080,46.90,47.145,46.7652
01/02/2024,47.37,17117310,47.44,47.61,47.32
12/29/2023,47.90,10489630,47.94,48.08,47.8048
12/28/2023,47.91,11909280,48.06,48.16,47.8848
12/27/2023,47.99,9921245,47.81,48.03,47.765
12/26/2023,47.72,7301804,47.55,47.785,47.40
12/22/2023,47.51,12007580,47.50,47.63,47.345
12/21/2023,47.40,13337750,47.18,47.40,47.06
12/20/2023,46.61,15780030,47.14,47.26,46.5942
12/19/2023,47.10,9253478,46.99,47.12,46.91
12/18/2023,46.65,10386250,46.73,46.745,46.53
12/15/2023,47.10,18248250,47.40,47.4599,47.10
12/14/2023,47.59,16856860,47.46,47.77,47.41
12/13/2023,47.18,12136140,46.43,47.20,46.23
12/12/2023,46.43,11187180,46.33,46.44,46.15
12/11/2023,46.42,13939270,46.28,46.44,46.2012
12/08/2023,46.29,9501365,46.06,46.38,46.0401
12/07/2023,46.18,17301100,46.09,46.32,45.8901
12/06/2023,45.96,9458756,46.31,46.39,45.96
12/05/2023,45.87,9365641,45.90,46.04,45.79
12/04/2023,46.02,10810060,45.97,46.17,45.8837
12/01/2023,46.43,14005830,45.90,46.45,45.86
11/30/2023,45.96,9636854,45.98,46.025,45.755
11/29/2023,45.98,9916748,45.99,46.15,45.85
11/28/2023,45.87,8909071,45.72,46.0098,45.65
11/27/2023,45.79,10489870,45.78,45.8355,45.67
11/24/2023,45.91,4556005,45.72,45.92,45.72
11/22/2023,45.61,8971637,45.56,45.625,45.365
11/21/2023,45.52,7205710,45.71,45.73,45.46
11/20/2023,45.70,9554662,45.48,45.77,45.4701
11/17/2023,45.50,6926547,45.32,45.52,45.26
11/16/2023,44.94,9361244,44.92,45.1175,44.805
11/15/2023,45.04,17284850,45.11,45.265,45.00
11/14/2023,45.08,13479010,44.65,45.14,44.65
11/13/2023,43.89,7893844,43.61,43.97,43.55
11/10/2023,43.83,7520812,43.60,43.85,43.295
11/09/2023,43.60,12652010,43.98,44.10,43.59
11/08/2023,43.62,10982120,43.66,43.805,43.475
11/07/2023,43.72,10388690,43.69,43.8175,43.57
11/06/2023,44.05,10769510,44.33,44.33,43.95
11/03/2023,44.19,12317010,44.05,44.32,44.04
11/02/2023,43.63,11560800,43.43,43.64,43.322
11/01/2023,42.67,13871910,42.36,42.69,42.255
10/31/2023,42.24,13692150,42.17,42.2938,42.03
10/30/2023,42.15,14858800,42.05,42.1694,41.87
10/27/2023,41.58,13817420,42.00,42.015,41.48
10/26/2023,41.71,16777010,41.90,41.99,41.58
10/25/2023,42.02,12721330,42.21,42.36,41.98
10/24/2023,42.39,9538611,42.27,42.445,42.1701
10/23/2023,42.18,14594550,41.98,42.4599,41.815
10/20/2023,42.16,12890390,42.40,42.5056,42.14
10/19/2023,42.56,17765550,42.79,43.02,42.48
10/18/2023,42.91,10263490,43.30,43.345,42.85
10/17/2023,43.65,15063670,43.26,43.85,43.24
10/16/2023,43.64,12284070,43.39,43.675,43.32
10/13/2023,43.30,10924320,43.56,43.68,43.1929
10/12/2023,43.69,9696107,44.17,44.17,43.51
10/11/2023,44.07,8211225,44.13,44.1907,43.8219
10/10/2023,43.88,14448550,43.75,44.045,43.70
10/09/2023,43.33,9131688,42.97,43.38,42.945
10/06/2023,43.36,11812890,42.81,43.46,42.535
10/05/2023,42.91,12624640,42.75,42.95,42.6141
10/04/2023,42.52,14106140,42.57,42.5848,42.17
10/03/2023,42.50,16168240,42.65,42.76,42.33
10/02/2023,43.04,16236190,43.45,43.47,42.91
09/29/2023,43.72,16047810,44.27,44.27,43.62
09/28/2023,43.86,13567430,43.55,43.9899,43.4801
09/27/2023,43.50,12446120,43.77,43.795,43.22
09/26/2023,43.60,13497170,43.86,43.98,43.5648
09/25/2023,44.23,11703930,44.07,44.26,43.955
09/22/2023,44.40,11652760,44.62,44.755,44.35
09/21/2023,44.35,11630840,44.66,44.75,44.34
09/20/2023,45.10,11025080,45.44,45.66,45.08
09/19/2023,45.25,9230411,45.33,45.41,45.13
09/18/2023,45.24,7494892,45.25,45.305,45.075
09/15/2023,45.72,9970217,45.90,46.035,45.675
